title,date,L,E,M,C,B,A,i+,i,i-
Svenska som andraspråk,Kevät 2014,187,172,158,139,110,90,,,
"Äidinkieli, suomi",Syksy 2016,87,72,60,49,39,29,27,24,19
"Äidinkieli, ruotsi",Syksy 2016,87,72,60,47,35,25,23,20,18
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
"Äidinkieli, suomi",Syksy 2015,086,070,058,048,038,028,026,024,022
"Äidinkielen koe, suomi",Kevät 2017,87,71,60,50,39,28,26,23,19
"Äidinkielen koe, ruotsi",Kevät 2017,89,72,61,50,37,27,25,23,20
"Äidinkielen koe, inarinsaame",Kevät 2017,60,50,40,30,20,10,8,7,6
"Espanja, pitkä oppimäärä",Syksy 2012,272,257,244,205,170,129,,,
"Saksa, lyhyt oppimäärä",Syksy 2012,282,253,227,200,172,125,,,
"Englanti, lyhyt oppimäärä",Syksy 2012,263,239,213,184,150,123,,,
"Ranska, lyhyt oppimäärä",Syksy 2012,274,253,228,197,157,116,,,
"Venäjä, lyhyt oppimäärä",Syksy 2012,276,255,225,195,160,125,,,
"Espanja, lyhyt oppimäärä",Syksy 2012,285,268,244,199,174,133,,,
"Italia , lyhyt oppimäärä",Syksy 2012,283,263,230,203,164,114,,,
"Latina, laajempi oppimäärä",Syksy 2012,195,180,160,140,120,100,,,
"Latina, lyhyt oppimäärä",Syksy 2012,195,180,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Syksy 2012,195,181,166,140,120,098,,,
"Portugali, lyhyt oppimäärä",Syksy 2012,189,172,160,141,120,100,,,
Evankelis-luterilainen uskonto,Syksy 2012,034,028,023,017,012,008,,,
Ortodoksinen uskonto,Syksy 2012,032,026,020,015,013,010,,,
"Äidinkielen koe, suomi",Syksy 2017,86,71,61,51,41,30,28,26,20
"Äidinkielen koe, ruotsi",Syksy 2017,86,71,60,47,38,26,23,21,18
"Äidinkielen koe, inarinsaame",Syksy 2017,56,50,40,30,20,10,8,7,6
"Äidinkieli, ruotsi",Kevät 2015,90,74,63,50,38,26,22,17,13
"Äidinkieli, pohjoissaame",Kevät 2015,60,50,40,30,20,10,7,5,4
"Äidinkieli, inarinsaame",Kevät 2015,60,50,40,30,20,10,7,5,4
Suomi toisena kielenä,Kevät 2015,186,172,157,137,114,89,79,70,56
Svenska som andraspråk,Kevät 2015,186,172,157,137,114,89,79,70,56
"Matematiikka, pitkä oppimäärä",Kevät 2015,56,43,32,22,14,9,7,6,5
"Matematiikka, lyhyt oppimäärä",Kevät 2015,53,44,37,29,20,12,10,8,6
"Ruotsi, pitkä oppimäärä",Kevät 2015,256,226,197,170,142,107,98,87,72
"Ruotsi, keskipitkä oppimäärä",Kevät 2015,248,215,185,154,124,106,101,95,86
"Suomi, pitkä oppimäärä",Kevät 2015,274,253,234,207,180,144,139,129,118
"Suomi, keskipitkä oppimäärä",Kevät 2015,260,236,216,184,151,110,106,96,86
"Englanti, pitkä oppimäärä",Kevät 2015,273,250,224,191,157,125,120,114,103
"Saksa, pitkä oppimäärä",Kevät 2015,270,240,201,169,138,120,90,63,56
"Ranska, pitkä oppimäärä",Kevät 2015,273,250,229,204,174,115,108,100,92
"Venäjä, pitkä oppimäärä",Kevät 2015,270,251,218,183,154,120,110,100,90
"Espanja, pitkä oppimäärä",Kevät 2015,275,249,225,201,173,120,110,100,90
"Saksa, lyhyt oppimäärä",Kevät 2015,276,236,207,170,138,116,100,88,72
"Englanti, lyhyt oppimäärä",Kevät 2015,267,242,221,191,162,130,128,123,110
"Ranska, lyhyt oppimäärä",Kevät 2015,269,237,210,180,150,120,114,102,92
"Ranska, pitkä oppimäärä",Kevät 2013,276,260,236,211,183,125,,,
"Venäjä, pitkä oppimäärä",Kevät 2013,277,257,226,195,160,125,,,
"Espanja, pitkä oppimäärä",Kevät 2013,270,248,235,215,170,125,,,
"Saksa, lyhyt oppimäärä",Kevät 2013,277,250,226,193,160,122,,,
"Englanti, lyhyt oppimäärä",Kevät 2013,262,236,212,186,156,123,,,
"Ranska, lyhyt oppimäärä",Kevät 2013,270,247,219,192,161,123,,,
"Venäjä, lyhyt oppimäärä",Kevät 2013,272,245,213,184,160,115,,,
"Espanja, lyhyt oppimäärä",Kevät 2013,279,257,225,190,154,118,,,
"Italia , lyhyt oppimäärä",Kevät 2013,280,250,230,199,169,123,,,
Kemia,Syksy 2009,040,033,026,019,013,007,,,
Biologia,Syksy 2009,045,039,034,028,021,015,,,
Maantiede,Syksy 2009,033,028,024,020,016,011,,,
Terveystieto,Syksy 2009,032,026,022,018,015,011,,,
"Ruotsi, keskipitkä oppimäärä",Syksy 2013,252,218,187,154,124,100,,,
"Suomi, pitkä oppimäärä",Syksy 2013,275,253,231,208,179,131,,,
"Suomi, keskipitkä oppimäärä",Syksy 2013,259,245,222,187,143,113,,,
"Englanti, pitkä oppimäärä",Syksy 2013,270,248,226,197,158,116,,,
"Saksa, pitkä oppimäärä",Syksy 2013,283,264,232,195,159,120,,,
"Ranska, pitkä oppimäärä",Syksy 2013,271,250,223,180,150,120,,,
"Venäjä, pitkä oppimäärä",Syksy 2013,278,262,238,200,165,125,,,
"Espanja, pitkä oppimäärä",Syksy 2013,271,252,230,210,170,125,,,
"Saksa, lyhyt oppimäärä",Syksy 2013,280,254,224,196,167,117,,,
"Englanti, lyhyt oppimäärä",Syksy 2013,256,234,212,188,158,123,,,
Terveystieto,Syksy 2010,031,025,021,017,014,011,,,
Terveystieto,Kevät 2009,030,023,019,015,012,009,,,
Terveystieto,Kevät 2010,032,026,022,018,014,011,,,
"Äidinkieli, ruotsi",Kevät 2016,89,73,61,49,38,27,23,20,16
"Äidinkieli, pohjoissaame",Kevät 2016,60,50,40,30,20,10,8,7,6
Suomi toisena kielenä,Kevät 2016,185,172,159,142,120,94,90,65,56
Svenska som andraspråk,Kevät 2016,185,172,159,142,119,94,90,65,56
"Matematiikka, pitkä oppimäärä",Kevät 2016,49,35,26,19,13,9,8,7,5
"Matematiikka, lyhyt oppimäärä",Kevät 2016,48,38,31,23,16,10,9,8,6
"Ruotsi, pitkä oppimäärä",Kevät 2016,259,232,203,175,150,129,121,110,90
"Ruotsi, keskipitkä oppimäärä",Kevät 2016,237,201,170,139,112,95,88,78,60
"Suomi, pitkä oppimäärä",Kevät 2016,275,256,231,211,180,142,137,130,125
"Suomi, keskipitkä oppimäärä",Kevät 2016,264,245,223,180,142,111,105,90,84
"Englanti, pitkä oppimäärä",Kevät 2016,267,246,224,192,154,122,116,108,97
"Saksa, pitkä oppimäärä",Kevät 2016,275,234,202,173,145,112,80,75,70
"Ranska, pitkä oppimäärä",Kevät 2016,270,249,232,209,180,113,107,96,92
Ortodoksinen uskonto,Kevät 2012,032,027,022,017,015,011,,,
Elämänkatsomustieto,Kevät 2012,035,031,026,021,017,011,,,
Filosofia,Kevät 2012,035,028,023,017,013,009,,,
Psykologia,Kevät 2012,032,027,022,017,013,009,,,
Historia,Kevät 2012,033,027,023,018,013,009,,,
Yhteiskuntaoppi,Kevät 2012,035,029,025,020,015,011,,,
Fysiikka,Kevät 2012,041,034,028,022,017,012,,,
Kemia,Kevät 2012,043,036,030,022,014,009,,,
Biologia,Kevät 2012,043,037,031,024,017,012,,,
"Matematiikka, pitkä oppimäärä",Kevät 2014,56,44,35,26,19,13,,,
"Matematiikka, lyhyt oppimäärä",Kevät 2014,52,42,33,24,16,9,,,
"Ruotsi, pitkä oppimäärä",Kevät 2014,257,234,209,180,149,118,,,
"Ruotsi, keskipitkä oppimäärä",Kevät 2014,246,214,185,155,125,99,,,
"Suomi, pitkä oppimäärä",Kevät 2014,276,261,244,217,185,140,,,
"Suomi, keskipitkä oppimäärä",Kevät 2014,260,236,217,182,152,111,,,
"Englanti, pitkä oppimäärä",Kevät 2014,268,244,220,191,156,121,,,
"Saksa, pitkä oppimäärä",Kevät 2014,281,255,230,200,170,124,,,
"Ranska, pitkä oppimäärä",Kevät 2014,279,260,236,211,184,121,,,
"Venäjä, pitkä oppimäärä",Kevät 2014,274,248,218,180,150,112,,,
"Espanja, pitkä oppimäärä",Kevät 2014,274,247,227,200,176,120,,,
"Saksa, lyhyt oppimäärä",Kevät 2014,275,245,219,186,155,122,,,
"Englanti, lyhyt oppimäärä",Kevät 2014,265,242,225,197,167,135,,,
"Ranska, lyhyt oppimäärä",Kevät 2014,265,237,208,180,150,117,,,
Suomi toisena kielenä,Syksy 2016,183,169,153,134,109,90,81,76,63
Svenska som andraspråk,Syksy 2016,183,169,153,134,109,90,81,76,63
"Matematiikka, pitkä oppimäärä",Syksy 2016,55,42,30,19,11,8,7,6,5
"Matematiikka, lyhyt oppimäärä",Syksy 2016,45,38,33,26,19,12,11,9,7
"Ruotsi, pitkä oppimäärä",Syksy 2016,258,229,201,170,140,115,97,80,60
"Ruotsi, keskipitkä oppimäärä",Syksy 2016,255,223,188,158,128,104,97,88,79
"Suomi, pitkä oppimäärä",Syksy 2016,277,261,241,211,181,141,138,130,124
"Suomi, keskipitkä oppimäärä",Syksy 2016,268,243,223,187,152,117,112,95,85
"Englanti, pitkä oppimäärä",Syksy 2016,273,253,234,207,172,128,122,116,107
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
"Äidinkieli, ruotsi",Syksy 2015,089,074,060,047,033,022,019,016,013
Suomi toisena kielenä,Syksy 2015,183,171,156,137,112,90,082,076,063
Svenska som andraspråk,Syksy 2015,183,171,156,137,112,90,082,076,063
"Matematiikka, pitkä oppimäärä",Syksy 2015,054,039,029,020,013,007,006,005,004
"Matematiikka, lyhyt oppimäärä",Syksy 2015,051,041,031,021,013,007,006,005,004
"Ruotsi, pitkä oppimäärä",Syksy 2015,260,230,204,173,125,110,098,081,062
"Ruotsi, keskipitkä oppimäärä",Syksy 2015,254,224,197,166,132,115,109,102,091
"Suomi, pitkä oppimäärä",Syksy 2015,278,259,240,212,175,139,132,124,095
"Suomi, keskipitkä oppimäärä",Syksy 2015,258,238,213,176,148,114,108,101,096
"Englanti, pitkä oppimäärä",Syksy 2015,275,256,236,210,174,128,124,118,109
"Saksa, pitkä oppimäärä",Syksy 2015,280,255,218,184,156,116,102,071,060
"Äidinkielen koe, pohjoissaame",Kevät 2017,60,50,40,30,20,10,8,7,6
Suomi toisena kielenä,Kevät 2017,184,171,158,142,118,93,88,82,70
Ruotsi toisena kielenä,Kevät 2017,184,171,158,142,118,93,88,82,70
"Matematiikan koe, lyhyt oppimäärä",Kevät 2017,49,38,30,22,15,9,8,7,5
"Matematiikan koe, pitkä oppimäärä",Kevät 2017,54,39,27,19,12,9,8,6,4
"Ruotsi, pitkä oppimäärä",Kevät 2017,255,230,198,171,140,110,87,70,60
"Ruotsi, keskipitkä oppimäärä",Kevät 2017,247,209,175,142,118,101,94,81,70
"Suomi, pitkä oppimäärä",Kevät 2017,272,252,229,202,179,145,128,100,80
"Suomi, keskipitkä oppimäärä",Kevät 2017,266,234,214,186,150,115,99,94,78
"Englanti, pitkä oppimäärä",Kevät 2017,271,251,233,204,170,129,122,111,80
"Saksa, pitkä oppimäärä",Kevät 2017,267,221,180,150,131,112,83,72,66
"Ranska, pitkä oppimäärä",Kevät 2017,272,240,220,195,175,115,105,90,80
"Venäjä, pitkä oppimäärä",Kevät 2017,275,240,217,182,154,120,110,100,90
"Äidinkielen koe, suomi",Kevät 2018,,,,,,,,,
Elämänkatsomustieto,Syksy 2012,035,028,024,019,012,009,,,
Filosofia,Syksy 2012,034,027,022,016,010,007,,,
Psykologia,Syksy 2012,031,025,021,016,012,008,,,
Historia,Syksy 2012,034,028,023,018,014,010,,,
Yhteiskuntaoppi,Syksy 2012,034,029,025,020,015,011,,,
Fysiikka,Syksy 2012,043,032,024,016,011,008,,,
Kemia,Syksy 2012,042,035,029,021,014,009,,,
Biologia,Syksy 2012,043,037,032,027,020,014,,,
Maantiede,Syksy 2012,032,027,023,019,015,010,,,
Terveystieto,Syksy 2012,033,028,024,020,016,012,,,
"Äidinkielen koe, suomi",Syksy 2018,,,,,,,,,
"Äidinkielen koe, ruotsi",Syksy 2018,,,,,,,,,
"Äidinkielen koe, pohjoissaame",Syksy 2018,,,,,,,,,
Suomi toisena kielenä,Syksy 2018,,,,,,,,,
Ruotsi toisena kielenä,Syksy 2018,,,,,,,,,
Suomi toisena kielenä,Syksy 2017,179,165,150,130,108,86,82,72,62
Ruotsi toisena kielenä,Syksy 2017,179,165,149,130,108,86,82,72,62
"Matematiikan koe, lyhyt oppimäärä",Syksy 2017,49,39,31,23,16,9,8,7,5
"Matematiikan koe, pitkä oppimäärä",Syksy 2017,51,39,30,20,13,8,7,6,5
"Ruotsi, pitkä oppimäärä",Syksy 2017,259,224,197,167,130,108,95,79,67
"Ruotsi, keskipitkä oppimäärä",Syksy 2017,253,220,190,159,129,105,99,93,82
"Suomi, pitkä oppimäärä",Syksy 2017,274,257,238,213,183,144,134,124,114
"Suomi, keskipitkä oppimäärä",Syksy 2017,262,237,213,184,148,112,104,99,94
"Englanti, pitkä oppimäärä",Syksy 2017,276,256,236,210,176,136,129,118,100
"Venäjä, lyhyt oppimäärä",Kevät 2015,269,230,205,174,150,118,108,98,88
"Espanja, lyhyt oppimäärä",Kevät 2015,275,242,210,182,150,120,109,99,70
"Italia , lyhyt oppimäärä",Kevät 2015,271,247,209,170,145,118,100,80,60
"Latina, laajempi oppimäärä",Kevät 2015,195,180,160,140,120,100,85,70,50
"Latina, lyhyt oppimäärä",Kevät 2015,196,180,160,140,120,100,85,70,50
"Enaresamiska, kort lärokurs",Kevät 2015,195,181,166,140,120,100,90,80,70
"Pohjoissaame, lyhyt oppimäärä",Kevät 2015,195,181,166,140,120,100,90,80,70
"Koltansaame, lyhyt oppimäärä",Kevät 2015,192,181,166,140,120,100,90,80,70
"Latina, laajempi oppimäärä",Kevät 2013,194,180,160,140,120,100,,,
"Latina, lyhyt oppimäärä",Kevät 2013,194,180,160,140,120,098,,,
"Pohjoissaame, lyhyt oppimäärä",Kevät 2013,195,181,166,140,120,100,,,
"Portugali, lyhyt oppimäärä",Kevät 2013,185,166,153,131,112,100,,,
Evankelis-luterilainen uskonto,Kevät 2013,035,028,023,018,013,008,,,
Ortodoksinen uskonto,Kevät 2013,032,028,020,017,013,010,,,
Elämänkatsomustieto,Kevät 2013,036,029,025,020,016,011,,,
Filosofia,Kevät 2013,035,028,023,018,013,009,,,
Psykologia,Kevät 2013,032,025,021,016,012,008,,,
Historia,Kevät 2013,035,028,023,018,013,009,,,
Yhteiskuntaoppi,Kevät 2013,034,028,024,019,014,010,,,
Fysiikka,Kevät 2013,041,035,029,022,016,012,,,
"Ranska, lyhyt oppimäärä",Syksy 2013,271,240,213,183,150,110,,,
"Venäjä, lyhyt oppimäärä",Syksy 2013,275,250,220,194,155,110,,,
"Espanja, lyhyt oppimäärä",Syksy 2013,283,264,240,203,174,125,,,
"Italia , lyhyt oppimäärä",Syksy 2013,281,263,230,203,160,115,,,
"Latina, laajempi oppimäärä",Syksy 2013,194,180,160,140,120,100,,,
"Latina, lyhyt oppimäärä",Syksy 2013,194,180,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Syksy 2013,195,181,166,140,120,100,,,
"Portugali, lyhyt oppimäärä",Syksy 2013,185,166,155,135,115,100,,,
Evankelis-luterilainen uskonto,Syksy 2013,35,29,24,18,13,9,,,
Ortodoksinen uskonto,Syksy 2013,32,26,21,16,13,10,,,
"Venäjä, pitkä oppimäärä",Kevät 2016,278,245,214,181,150,120,110,100,90
"Espanja, pitkä oppimäärä",Kevät 2016,272,250,225,200,180,122,110,100,90
"Saksa, lyhyt oppimäärä",Kevät 2016,271,240,208,163,132,110,100,93,76
"Englanti, lyhyt oppimäärä",Kevät 2016,272,252,239,211,174,130,126,120,115
"Ranska, lyhyt oppimäärä",Kevät 2016,268,237,209,170,140,117,112,100,90
"Venäjä, lyhyt oppimäärä",Kevät 2016,271,231,198,163,135,115,108,100,91
"Espanja, lyhyt oppimäärä",Kevät 2016,260,220,186,144,124,100,80,65,50
"Italia , lyhyt oppimäärä",Kevät 2016,279,258,226,196,149,120,100,80,70
"Latina, laajempi oppimäärä",Kevät 2016,190,180,160,140,120,100,75,50,25
"Latina, lyhyt oppimäärä",Kevät 2016,190,180,160,140,120,100,75,50,25
Maantiede,Kevät 2012,033,028,024,019,015,011,,,
Terveystieto,Kevät 2012,033,028,024,020,016,012,,,
"Venäjä, lyhyt oppimäärä",Kevät 2014,270,237,205,178,152,117,,,
"Espanja, lyhyt oppimäärä",Kevät 2014,282,257,224,194,165,127,,,
"Italia , lyhyt oppimäärä",Kevät 2014,283,265,222,202,160,120,,,
"Latina, laajempi oppimäärä",Kevät 2014,194,180,160,140,120,100,,,
"Latina, lyhyt oppimäärä",Kevät 2014,196,180,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Kevät 2014,195,181,166,140,120,100,,,
"Koltansaame, lyhyt oppimäärä",Kevät 2014,195,181,166,140,120,100,,,
"Portugali, lyhyt oppimäärä",Kevät 2014,181,170,155,147,126,100,,,
Evankelis-luterilainen uskonto,Kevät 2014,32,26,21,16,11,8,,,
Ortodoksinen uskonto,Kevät 2014,33,27,24,21,14,9,,,
Elämänkatsomustieto,Kevät 2014,33,27,22,17,13,9,,,
Filosofia,Kevät 2014,32,25,20,15,11,7,,,
"Saksa, pitkä oppimäärä",Syksy 2016,270,227,196,160,133,112,107,100,90
"Ranska, pitkä oppimäärä",Syksy 2016,270,240,225,209,180,120,114,95,85
"Venäjä, pitkä oppimäärä",Syksy 2016,274,259,237,200,165,118,110,100,90
"Espanja, pitkä oppimäärä",Syksy 2016,279,265,240,215,180,122,115,105,95
"Saksa, lyhyt oppimäärä",Syksy 2016,275,243,214,186,158,119,115,105,90
"Englanti, lyhyt oppimäärä",Syksy 2016,267,240,224,194,162,128,122,118,113
"Ranska, lyhyt oppimäärä",Syksy 2016,264,237,209,180,142,118,112,95,85
"Venäjä, lyhyt oppimäärä",Syksy 2016,269,236,205,171,135,112,105,97,90
"Espanja, lyhyt oppimäärä",Syksy 2016,272,242,211,166,138,126,107,99,53
"Italia , lyhyt oppimäärä",Syksy 2016,282,272,240,205,160,120,112,95,85
"Latina, laajempi oppimäärä",Syksy 2016,195,180,160,140,120,100,95,90,85
"Latina, lyhyt oppimäärä",Syksy 2016,195,180,160,140,120,100,95,90,85
"Pohjoissaame, lyhyt oppimäärä",Syksy 2016,195,181,166,140,120,100,90,80,70
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
"Äidinkielen koe, ruotsi",Kevät 2019,96,78,65,51,39,30,,,
"Äidinkielen koe, pohjoissaame",Kevät 2019,60,50,40,30,20,10,,,
"äidinkielen koe, ruotsi",Kevät 2020,94,77,63,50,40,28,,,
"äidinkielen koe, pohjoissaame",Kevät 2020,55,50,40,30,20,10,,,
"Äidinkielen koe, ruotsi",Syksy 2019,91,72,62,51,40,28,,,
"Äidinkielen koe, pohjoissaame",Syksy 2019,55,50,40,30,20,10,,,
"Äidinkieli, ruotsi",Syksy 2020,90,74,60,50,40,28,25,20,15
"Äidinkieli, pohjoissaame",Syksy 2020,55,50,40,30,20,10,8,5,4
"Ranska, pitkä oppimäärä",Syksy 2015,279,267,239,207,170,119,108,100,092
"Venäjä, pitkä oppimäärä",Syksy 2015,276,262,237,200,165,120,110,098,090
"Espanja, pitkä oppimäärä",Syksy 2015,272,252,235,215,170,135,110,105,100
"Saksa, lyhyt oppimäärä",Syksy 2015,278,245,210,188,154,118,110,102,097
"Englanti, lyhyt oppimäärä",Syksy 2015,274,254,235,208,178,130,125,119,110
"Ranska, lyhyt oppimäärä",Syksy 2015,270,242,212,182,145,115,110,102,092
"Venäjä, lyhyt oppimäärä",Syksy 2015,273,245,210,180,140,115,105,095,085
"Espanja, lyhyt oppimäärä",Syksy 2015,267,240,201,164,147,110,103,097,082
"Italia , lyhyt oppimäärä",Syksy 2015,270,248,234,195,152,123,114,105,110
"Latina, lyhyt oppimäärä",Syksy 2015,195,180,160,140,120,100,085,070,050
"Pohjoissaame, lyhyt oppimäärä",Syksy 2015,195,181,166,140,120,100,090,080,070
"Koltansaame, lyhyt oppimäärä",Syksy 2015,195,181,166,140,120,100,090,080,070
"Portugali, lyhyt oppimäärä",Syksy 2015,186,175,160,149,120,98,090,080,70
Evankelis-luterilainen uskonto,Syksy 2015,034,027,022,017,012,008,006,005,004
Ortodoksinen uskonto,Syksy 2015,034,027,022,017,012,008,006,005,004
"Espanja, pitkä oppimäärä",Kevät 2017,275,253,230,215,175,120,110,100,90
"Saksa, lyhyt oppimäärä",Kevät 2017,274,236,207,172,135,112,104,97,81
"Englanti, lyhyt oppimäärä",Kevät 2017,269,241,221,193,158,125,105,93,77
"Ranska, lyhyt oppimäärä",Kevät 2017,255,220,192,166,135,115,109,95,85
"Venäjä, lyhyt oppimäärä",Kevät 2017,264,230,195,162,128,110,102,94,86
"Espanja, lyhyt oppimäärä",Kevät 2017,277,248,216,172,150,120,110,80,50
"Italia, lyhyt oppimäärä",Kevät 2017,273,244,207,160,125,111,95,75,60
"Latina, laajempi oppimäärä",Kevät 2017,195,170,160,140,120,100,85,70,50
"Latina, lyhyt oppimäärä",Kevät 2017,195,180,160,140,120,90,85,70,50
"Pohjoissaame, lyhyt oppimäärä",Kevät 2017,195,181,166,140,120,100,90,80,70
"Äidinkielen koe, ruotsi",Kevät 2018,,,,,,,,,
"Äidinkielen koe, pohjoissaame",Kevät 2018,,,,,,,,,
Suomi toisena kielenä,Kevät 2018,,,,,,,,,
Ruotsi toisena kielenä,Kevät 2018,,,,,,,,,
"Matematiikan koe, lyhyt oppimäärä",Kevät 2018,,,,,,,,,
"Matematiikan koe, pitkä oppimäärä",Kevät 2018,,,,,,,,,
"Ruotsi, pitkä oppimäärä",Kevät 2018,,,,,,,,,
"Ruotsi, keskipitkä oppimäärä",Kevät 2018,,,,,,,,,
"Suomi, pitkä oppimäärä",Kevät 2018,,,,,,,,,
"Suomi, keskipitkä oppimäärä",Kevät 2018,,,,,,,,,
"Englanti, lyhyt oppimäärä",Kevät 2018,,,,,,,,,
"Englanti, pitkä oppimäärä",Kevät 2018,,,,,,,,,
"Espanja, lyhyt oppimäärä",Kevät 2018,,,,,,,,,
"Espanja, pitkä oppimäärä",Kevät 2018,,,,,,,,,
"Ruotsi, keskipitkä oppimäärä",Syksy 2018,,,,,,,,,
"Ruotsi, pitkä oppimäärä",Syksy 2018,,,,,,,,,
"Suomi, keskipitkä oppimäärä",Syksy 2018,,,,,,,,,
"Suomi, pitkä oppimäärä",Syksy 2018,,,,,,,,,
"Englanti, lyhyt oppimäärä",Syksy 2018,,,,,,,,,
"Englanti, pitkä oppimäärä",Syksy 2018,,,,,,,,,
"Espanja, lyhyt oppimäärä",Syksy 2018,,,,,,,,,
"Espanja, pitkä oppimäärä",Syksy 2018,,,,,,,,,
"Italia, lyhyt oppimäärä",Syksy 2018,,,,,,,,,
"Koltan saame, lyhyt oppimäärä",Syksy 2018,,,,,,,,,
"Latina, laajempi oppimäärä",Syksy 2018,,,,,,,,,
"Latina, lyhyt oppimäärä",Syksy 2018,,,,,,,,,
"Pohjoissaame, lyhyt oppimäärä",Syksy 2018,,,,,,,,,
"Portugali, lyhyt oppimäärä",Syksy 2018,,,,,,,,,
"Ranska, lyhyt oppimäärä",Syksy 2018,,,,,,,,,
"Ranska, pitkä oppimäärä",Syksy 2018,,,,,,,,,
"Saksa, pitkä oppimäärä",Syksy 2017,268,244,212,184,145,111,100,90,80
"Ranska, pitkä oppimäärä",Syksy 2017,272,259,224,195,169,120,113,95,85
"Venäjä, pitkä oppimäärä",Syksy 2017,274,257,238,200,155,114,104,94,84
"Espanja, pitkä oppimäärä",Syksy 2017,272,250,220,190,160,125,110,90,75
"Saksa, lyhyt oppimäärä",Syksy 2017,264,232,198,177,152,116,107,99,91
"Englanti, lyhyt oppimäärä",Syksy 2017,266,251,224,195,163,125,113,105,95
"Portugali, lyhyt oppimäärä",Kevät 2015,181,170,154,140,122,100,90,80,70
Evankelis-luterilainen uskonto,Kevät 2015,34,27,22,17,12,9,8,6,5
Ortodoksinen uskonto,Kevät 2015,34,27,21,17,12,9,8,6,5
Elämänkatsomustieto,Kevät 2015,32,27,20,16,12,9,8,6,4
Filosofia,Kevät 2015,31,25,20,16,11,8,7,6,5
Psykologia,Kevät 2015,32,26,21,16,12,9,8,6,3
Historia,Kevät 2015,34,28,23,18,13,9,8,6,4
Yhteiskuntaoppi,Kevät 2015,34,29,25,20,16,12,11,9,6
Fysiikka,Kevät 2015,41,34,29,23,17,12,10,9,7
Kemia,Kevät 2013,044,036,028,020,013,009,,,
Biologia,Kevät 2013,043,037,031,024,017,012,,,
Maantiede,Kevät 2013,033,028,023,018,014,010,,,
Terveystieto,Kevät 2013,032,026,021,017,013,010,,,
Elämänkatsomustieto,Syksy 2013,32,27,22,17,13,9,,,
Filosofia,Syksy 2013,32,26,21,16,12,7,,,
Psykologia,Syksy 2013,32,27,22,17,13,9,,,
Historia,Syksy 2013,34,28,23,19,15,10,,,
Yhteiskuntaoppi,Syksy 2013,35,30,25,20,15,10,,,
Fysiikka,Syksy 2013,43,36,28,21,15,9,,,
Kemia,Syksy 2013,45,39,32,25,18,12,,,
Biologia,Syksy 2013,43,37,32,26,20,14,,,
Maantiede,Syksy 2013,33,29,25,21,17,12,,,
Terveystieto,Syksy 2013,32,27,23,19,16,12,,,
"Pohjoissaame, lyhyt oppimäärä",Kevät 2016,195,181,166,140,120,100,90,80,70
"Koltansaame, lyhyt oppimäärä",Kevät 2016,195,181,166,140,120,100,90,80,70
"Portugali, lyhyt oppimäärä",Kevät 2016,187,175,160,150,125,100,90,80,70
Evankelis-luterilainen uskonto,Kevät 2016,34,27,23,18,13,9,8,7,6
Ortodoksinen uskonto,Kevät 2016,34,27,23,18,13,9,8,7,6
Elämänkatsomustieto,Kevät 2016,33,29,23,18,14,9,7,6,4
Filosofia,Kevät 2016,31,25,19,14,10,8,6,5,3
Psykologia,Kevät 2016,31,25,20,15,11,7,6,5,3
Historia,Kevät 2016,34,28,23,18,13,9,8,6,5
Yhteiskuntaoppi,Kevät 2016,34,29,24,20,15,10,9,7,6
Fysiikka,Kevät 2016,42,33,25,19,14,10,9,8,6
Kemia,Kevät 2016,42,35,27,20,14,9,8,7,6
Biologia,Kevät 2016,41,33,26,19,13,9,8,7,6
Psykologia,Kevät 2014,32,26,21,16,12,8,,,
Historia,Kevät 2014,34,28,23,18,14,9,,,
Yhteiskuntaoppi,Kevät 2014,34,29,25,21,17,12,,,
Fysiikka,Kevät 2014,42,33,25,17,11,8,,,
Kemia,Kevät 2014,43,37,31,24,16,10,,,
Biologia,Kevät 2014,41,35,29,22,16,10,,,
Maantiede,Kevät 2014,33,27,23,19,15,11,,,
Terveystieto,Kevät 2014,30,25,21,17,13,10,,,
