title,date,L,E,M,C,B,A,i+,i,i-
"Matematiikka, pitkä oppimäärä",Syksy 2005,056,045,034,024,018,013,,,
"Matematiikka, lyhyt oppimäärä",Syksy 2005,052,043,033,023,015,010,,,
"Ruotsi, pitkä oppimäärä",Syksy 2005,273,246,218,185,148,112,,,
"Ruotsi, keskipitkä oppimäärä",Syksy 2005,264,233,210,180,146,114,,,
"Suomi, pitkä oppimäärä",Syksy 2005,283,264,240,213,183,134,,,
"Suomi, keskipitkä oppimäärä",Syksy 2005,267,231,212,185,155,117,,,
"Englanti, pitkä oppimäärä",Syksy 2005,276,257,237,207,161,124,,,
"Saksa, pitkä oppimäärä",Syksy 2005,282,252,225,196,170,126,,,
"Ranska, pitkä oppimäärä",Syksy 2005,279,258,236,217,175,140,,,
"Venäjä, pitkä oppimäärä",Syksy 2005,278,258,230,196,160,120,,,
"Espanja, pitkä oppimäärä",Syksy 2005,284,248,232,208,168,137,,,
"Englanti, lyhyt oppimäärä",Syksy 2005,269,235,213,190,160,120,,,
"Saksa, lyhyt oppimäärä",Syksy 2005,278,255,228,200,170,135,,,
"Latina, lyhyt oppimäärä",Kevät 2004,195,182,165,145,120,100,,,
"Latina, laajempi oppimäärä",Kevät 2004,190,180,158,143,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Kevät 2004,194,180,160,140,120,100,,,
"Inarinsaame, lyhyt oppimäärä",Kevät 2004,200,175,155,135,115,100,,,
"Äidinkieli, suomi",Kevät 2005,092,087,080,070,063,053,,,
,Kevät 2005,092,087,080,070,060,050,,,
"Äidinkieli, suomi",Syksy 2004,092,087,080,070,063,053,,,
"Saksa, pitkä oppimäärä",Syksy 2006,275,249,213,186,155,117,,,
"Ranska, pitkä oppimäärä",Syksy 2006,279,262,243,216,175,140,,,
"Venäjä, pitkä oppimäärä",Syksy 2006,280,260,228,194,156,120,,,
"Espanja, pitkä oppimäärä",Syksy 2006,280,265,233,208,170,140,,,
"Englanti, lyhyt oppimäärä",Syksy 2006,267,241,218,187,161,122,,,
"Saksa, lyhyt oppimäärä",Syksy 2006,280,253,224,195,167,120,,,
"Ranska, lyhyt oppimäärä",Syksy 2006,280,255,228,198,169,129,,,
"Venäjä, lyhyt oppimäärä",Syksy 2006,278,255,220,180,155,115,,,
"Espanja, lyhyt oppimäärä",Syksy 2006,285,271,249,220,190,136,,,
"Italia , lyhyt oppimäärä",Syksy 2006,287,265,243,214,188,135,,,
"Portugali, lyhyt oppimäärä",Syksy 2006,190,175,161,151,120,100,,,
"Latina, lyhyt oppimäärä",Syksy 2006,195,183,160,145,120,100,,,
Reaalikoe,Kevät 2003,040,032,027,022,018,012,,,
"Matematiikka, pitkä oppimäärä",Kevät 2003,047,031,021,015,010,006,,,
"Matematiikka, lyhyt oppimäärä",Kevät 2003,048,037,028,020,014,008,,,
"Ruotsi, pitkä oppimäärä",Kevät 2003,276,254,232,211,182,131,,,
"Ruotsi, keskipitkä oppimäärä",Kevät 2003,264,238,210,175,143,110,,,
"Suomi, pitkä oppimäärä",Kevät 2003,282,260,240,218,190,153,,,
"Suomi, keskipitkä oppimäärä",Kevät 2003,267,237,219,193,160,125,,,
"Englanti, pitkä oppimäärä",Kevät 2003,275,253,229,200,166,132,,,
"Saksa, pitkä oppimäärä",Kevät 2003,274,245,219,196,163,128,,,
"Ranska, pitkä oppimäärä",Kevät 2003,277,250,226,203,175,139,,,
"Venäjä, pitkä oppimäärä",Kevät 2003,273,253,223,190,160,120,,,
"Englanti, lyhyt oppimäärä",Kevät 2003,270,240,213,189,159,122,,,
"Saksa, lyhyt oppimäärä",Kevät 2003,269,240,212,187,160,126,,,
"Ranska, lyhyt oppimäärä",Kevät 2003,271,245,214,185,160,119,,,
"Venäjä, lyhyt oppimäärä",Kevät 2003,274,237,197,169,145,115,,,
"Ranska, lyhyt oppimäärä",Syksy 2005,266,240,216,187,163,126,,,
"Venäjä, lyhyt oppimäärä",Syksy 2005,280,252,220,180,155,120,,,
"Espanja, lyhyt oppimäärä",Syksy 2005,290,266,236,204,172,140,,,
"Italia , lyhyt oppimäärä",Syksy 2005,275,258,224,200,161,118,,,
"Portugali, lyhyt oppimäärä",Syksy 2005,190,174,161,150,120,100,,,
"Latina, lyhyt oppimäärä",Syksy 2005,198,183,165,144,120,100,,,
"Latina, laajempi oppimäärä",Syksy 2005,195,182,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Syksy 2005,200,180,160,140,120,100,,,
"Äidinkieli, suomi",Kevät 2007,090,077,062,045,033,022,,,
"Äidinkieli, pohjoissaame",Kevät 2005,092,087,080,070,063,053,,,
Suomi toisena kielenä,Kevät 2005,181,165,148,127,111,091,,,
Svenska som andraspråk,Kevät 2005,180,167,150,130,110,090,,,
Reaalikoe,Kevät 2005,041,033,028,023,019,013,,,
"Matematiikka, pitkä oppimäärä",Kevät 2005,051,036,026,018,013,008,,,
"Matematiikka, lyhyt oppimäärä",Kevät 2005,052,043,035,026,019,012,,,
"Ruotsi, pitkä oppimäärä",Kevät 2005,275,249,225,200,162,120,,,
"Ruotsi, keskipitkä oppimäärä",Kevät 2005,265,239,212,178,144,110,,,
"Suomi, pitkä oppimäärä",Kevät 2005,281,258,237,211,187,149,,,
"Suomi, keskipitkä oppimäärä",Kevät 2005,269,245,224,190,158,118,,,
"Englanti, pitkä oppimäärä",Kevät 2005,272,250,229,198,159,121,,,
"Saksa, pitkä oppimäärä",Kevät 2005,281,255,235,212,177,135,,,
"Äidinkieli, suomi",Syksy 2007,090,077,062,044,032,021,,,
"Äidinkieli, ruotsi",Syksy 2007,091,080,064,045,033,021,,,
"Äidinkieli, ruotsi",Syksy 2004,093,088,080,070,060,050,,,
"Äidinkieli, pohjoissaame",Syksy 2004,092,087,080,070,063,053,,,
Suomi toisena kielenä,Syksy 2004,179,164,141,127,107,091,,,
Svenska som andraspråk,Syksy 2004,179,164,141,127,107,091,,,
Reaalikoe,Syksy 2004,040,032,026,021,017,012,,,
"Matematiikka, pitkä oppimäärä",Syksy 2004,052,041,031,022,015,010,,,
"Matematiikka, lyhyt oppimäärä",Syksy 2004,047,036,028,021,015,009,,,
"Ruotsi, pitkä oppimäärä",Syksy 2004,271,242,213,186,156,120,,,
"Ruotsi, keskipitkä oppimäärä",Syksy 2004,265,234,210,179,145,112,,,
"Suomi, pitkä oppimäärä",Syksy 2004,281,260,240,220,189,145,,,
"Suomi, keskipitkä oppimäärä",Syksy 2004,268,237,216,189,160,125,,,
"Englanti, pitkä oppimäärä",Syksy 2004,275,256,237,211,170,128,,,
"Saksa, pitkä oppimäärä",Syksy 2004,269,243,213,195,166,120,,,
"Ranska, pitkä oppimäärä",Syksy 2004,280,257,235,211,174,139,,,
"Venäjä, pitkä oppimäärä",Syksy 2004,278,258,228,196,160,120,,,
"Englanti, lyhyt oppimäärä",Syksy 2004,275,245,219,198,160,119,,,
"Saksa, lyhyt oppimäärä",Syksy 2004,271,244,211,181,149,120,,,
"Latina, laajempi oppimäärä",Syksy 2006,193,180,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Syksy 2006,195,182,165,140,120,100,,,
Evankelis-luterilainen uskonto,Syksy 2006,33,26,21,16,11,7,,,
Ortodoksinen uskonto,Syksy 2006,32,27,21,15,12,9,,,
Elämänkatsomustieto,Syksy 2006,35,28,22,16,11,8,,,
Filosofia,Syksy 2006,33,27,22,17,12,8,,,
Psykologia,Syksy 2006,32,25,20,16,12,8,,,
Historia,Syksy 2006,32,26,22,18,14,9,,,
Yhteiskuntaoppi,Syksy 2006,33,28,23,19,14,10,,,
"Italia , lyhyt oppimäärä",Kevät 2003,277,251,219,186,160,135,,,
"Espanja, lyhyt oppimäärä",Kevät 2003,282,260,233,203,171,130,,,
